Form,Predicted Gender,True Gender,Class Probabilities,Set,Run
sypst1tif,m,m,"[('s', {'f': 0.20896439254283905, 'm': 0.7910355925559998}), ('y', {'f': 0.0900895744562149, 'm': 0.9099104404449463}), ('p', {'f': 0.24758484959602356, 'm': 0.752415120601654}), ('s', {'f': 0.014627652242779732, 'm': 0.9853723645210266}), ('t', {'f': 0.015213068574666977, 'm': 0.9847869277000427}), ('1', {'f': 4.531292142928578e-05, 'm': 0.9999547004699707}), ('t', {'f': 0.9545863270759583, 'm': 0.04541369900107384}), ('i', {'f': 0.12021515518426895, 'm': 0.879784882068634}), ('f', {'f': 0.010440937243402004, 'm': 0.9895590543746948})]",test,3
miʁwatəm1,m,m,"[('m', {'f': 0.0665191113948822, 'm': 0.9334808588027954}), ('i', {'f': 0.6955584287643433, 'm': 0.30444157123565674}), ('ʁ', {'f': 0.1140107661485672, 'm': 0.885989248752594}), ('w', {'f': 0.1376051902770996, 'm': 0.8623947501182556}), ('a', {'f': 0.11968716979026794, 'm': 0.8803128004074097}), ('t', {'f': 0.1337946355342865, 'm': 0.8662053346633911}), ('ə', {'f': 0.17386344075202942, 'm': 0.826136589050293}), ('m', {'f': 0.08833198994398117, 'm': 0.9116679430007935}), ('1', {'f': 0.0009113107807934284, 'm': 0.9990886449813843})]",test,3
salytasj2,f,f,"[('s', {'f': 0.20896439254283905, 'm': 0.7910355925559998}), ('a', {'f': 0.090041883289814, 'm': 0.9099581241607666}), ('l', {'f': 0.3297941982746124, 'm': 0.6702057719230652}), ('y', {'f': 0.1844819337129593, 'm': 0.8155180811882019}), ('t', {'f': 0.23707415163516998, 'm': 0.7629258632659912}), ('a', {'f': 0.7412191033363342, 'm': 0.258780837059021}), ('s', {'f': 0.7043454647064209, 'm': 0.2956545054912567}), ('j', {'f': 0.9986166954040527, 'm': 0.0013832832919433713}), ('2', {'f': 0.9999783039093018, 'm': 2.1669027773896232e-05})]",test,3
pʁOm2twaʁ,m,m,"[('p', {'f': 0.49935054779052734, 'm': 0.5006493926048279}), ('ʁ', {'f': 0.12095854431390762, 'm': 0.8790414333343506}), ('O', {'f': 0.28352609276771545, 'm': 0.7164738774299622}), ('m', {'f': 0.0125446617603302, 'm': 0.9874553680419922}), ('2', {'f': 0.0005004112608730793, 'm': 0.9994995594024658}), ('t', {'f': 0.007993505336344242, 'm': 0.9920064806938171}), ('w', {'f': 0.006883813068270683, 'm': 0.9931161999702454}), ('a', {'f': 0.01818322204053402, 'm': 0.9818167686462402}), ('ʁ', {'f': 0.006992393638938665, 'm': 0.9930076599121094})]",test,3
3stigasj2,f,f,"[('3', {'f': 0.007572444621473551, 'm': 0.9924275279045105}), ('s', {'f': 0.7606457471847534, 'm': 0.23935425281524658}), ('t', {'f': 0.009882126934826374, 'm': 0.9901178479194641}), ('i', {'f': 0.4434327483177185, 'm': 0.5565672516822815}), ('g', {'f': 0.40227025747299194, 'm': 0.5977297425270081}), ('a', {'f': 0.0812356173992157, 'm': 0.9187643527984619}), ('s', {'f': 0.02516290545463562, 'm': 0.9748371243476868}), ('j', {'f': 0.9906663298606873, 'm': 0.009333637543022633}), ('2', {'f': 0.9999831914901733, 'm': 1.686142604739871e-05})]",test,3
flibystje,m,m,"[('f', {'f': 0.08169641345739365, 'm': 0.9183036088943481}), ('l', {'f': 0.1750563532114029, 'm': 0.8249436616897583}), ('i', {'f': 0.16082091629505157, 'm': 0.8391790986061096}), ('b', {'f': 0.1856832504272461, 'm': 0.8143168091773987}), ('y', {'f': 0.11623414605855942, 'm': 0.8837658166885376}), ('s', {'f': 0.00339814112521708, 'm': 0.9966018199920654}), ('t', {'f': 0.7502893209457397, 'm': 0.24971073865890503}), ('j', {'f': 0.9996503591537476, 'm': 0.0003496947174426168}), ('e', {'f': 0.11298003047704697, 'm': 0.88701993227005})]",test,3
syʁʒisəm1,m,m,"[('s', {'f': 0.20896439254283905, 'm': 0.7910355925559998}), ('y', {'f': 0.0900895744562149, 'm': 0.9099104404449463}), ('ʁ', {'f': 0.9898221492767334, 'm': 0.010177849791944027}), ('ʒ', {'f': 0.03640788421034813, 'm': 0.9635921120643616}), ('i', {'f': 0.8176201581954956, 'm': 0.18237987160682678}), ('s', {'f': 0.10504096001386642, 'm': 0.8949590921401978}), ('ə', {'f': 0.11550800502300262, 'm': 0.8844919800758362}), ('m', {'f': 0.02648910880088806, 'm': 0.9735108613967896}), ('1', {'f': 3.91121138818562e-05, 'm': 0.9999608993530273})]",test,3
siflɔtəm1,m,m,"[('s', {'f': 0.20896439254283905, 'm': 0.7910355925559998}), ('i', {'f': 0.9434219598770142, 'm': 0.05657801777124405}), ('f', {'f': 0.0013360750162974, 'm': 0.9986639022827148}), ('l', {'f': 0.04480041563510895, 'm': 0.9551995992660522}), ('ɔ', {'f': 0.03198329359292984, 'm': 0.9680166840553284}), ('t', {'f': 0.6341177225112915, 'm': 0.3658822476863861}), ('ə', {'f': 0.053456831723451614, 'm': 0.9465431571006775}), ('m', {'f': 0.038555875420570374, 'm': 0.9614441394805908}), ('1', {'f': 0.00023487635189667344, 'm': 0.9997650980949402})]",test,3
disɛʁnəm1,m,m,"[('d', {'f': 0.48300912976264954, 'm': 0.5169909596443176}), ('i', {'f': 0.14025864005088806, 'm': 0.8597413301467896}), ('s', {'f': 0.1262369006872177, 'm': 0.8737630844116211}), ('ɛ', {'f': 0.02721857838332653, 'm': 0.9727813601493835}), ('ʁ', {'f': 0.0015209885314106941, 'm': 0.9984790682792664}), ('n', {'f': 0.04916504770517349, 'm': 0.9508349299430847}), ('ə', {'f': 0.6782293319702148, 'm': 0.32177072763442993}), ('m', {'f': 0.003196076722815633, 'm': 0.996803879737854}), ('1', {'f': 6.668847345281392e-05, 'm': 0.9999333620071411})]",test,3
divɛʁsite,f,f,"[('d', {'f': 0.48300912976264954, 'm': 0.5169909596443176}), ('i', {'f': 0.14025864005088806, 'm': 0.8597413301467896}), ('v', {'f': 0.9406360387802124, 'm': 0.0593639612197876}), ('ɛ', {'f': 0.04638223350048065, 'm': 0.9536177515983582}), ('ʁ', {'f': 0.004563416354358196, 'm': 0.9954366087913513}), ('s', {'f': 0.7246592044830322, 'm': 0.2753407657146454}), ('i', {'f': 0.9908806085586548, 'm': 0.00911934394389391}), ('t', {'f': 0.4999530613422394, 'm': 0.500046968460083}), ('e', {'f': 0.9935163259506226, 'm': 0.006483728531748056})]",test,3
ʃ1baʁdəm1,m,m,"[('ʃ', {'f': 0.6002846360206604, 'm': 0.399715393781662}), ('1', {'f': 1.771104689396452e-05, 'm': 0.9999822378158569}), ('b', {'f': 0.07626082748174667, 'm': 0.9237391352653503}), ('a', {'f': 0.1043231412768364, 'm': 0.8956767916679382}), ('ʁ', {'f': 0.004099351353943348, 'm': 0.9959006905555725}), ('d', {'f': 0.9788873195648193, 'm': 0.02111271396279335}), ('ə', {'f': 0.8863615393638611, 'm': 0.11363843828439713}), ('m', {'f': 0.005336400121450424, 'm': 0.9946635961532593}), ('1', {'f': 1.3527512237487826e-05, 'm': 0.9999865293502808})]",test,3
kabaʁətje,m,m,"[('k', {'f': 0.1589062362909317, 'm': 0.8410937190055847}), ('a', {'f': 0.39232927560806274, 'm': 0.6076706647872925}), ('b', {'f': 0.12106288224458694, 'm': 0.8789371848106384}), ('a', {'f': 0.32405343651771545, 'm': 0.6759465336799622}), ('ʁ', {'f': 9.761435649124905e-05, 'm': 0.9999023675918579}), ('ə', {'f': 0.6779802441596985, 'm': 0.3220197856426239}), ('t', {'f': 0.3935152292251587, 'm': 0.6064847111701965}), ('j', {'f': 0.9989204406738281, 'm': 0.0010796173010021448}), ('e', {'f': 0.016997534781694412, 'm': 0.9830024838447571})]",test,3
ipɛʁEspas,m,m,"[('i', {'f': 0.624622642993927, 'm': 0.3753774166107178}), ('p', {'f': 0.31416985392570496, 'm': 0.6858301758766174}), ('ɛ', {'f': 0.052012402564287186, 'm': 0.9479876160621643}), ('ʁ', {'f': 0.015065875835716724, 'm': 0.9849340915679932}), ('E', {'f': 0.3077716827392578, 'm': 0.6922283172607422}), ('s', {'f': 0.7200749516487122, 'm': 0.27992504835128784}), ('p', {'f': 0.630774974822998, 'm': 0.36922502517700195}), ('a', {'f': 0.6556684970855713, 'm': 0.3443314731121063}), ('s', {'f': 0.07041711360216141, 'm': 0.9295828938484192})]",test,3
ʁas1bləm1,m,m,"[('ʁ', {'f': 0.029563577845692635, 'm': 0.9704364538192749}), ('a', {'f': 0.1852058321237564, 'm': 0.8147942423820496}), ('s', {'f': 0.16855376958847046, 'm': 0.8314462304115295}), ('1', {'f': 2.3632579541299492e-05, 'm': 0.999976396560669}), ('b', {'f': 0.48270899057388306, 'm': 0.5172910094261169}), ('l', {'f': 0.05603894218802452, 'm': 0.9439610242843628}), ('ə', {'f': 0.2817028760910034, 'm': 0.7182970643043518}), ('m', {'f': 0.0036131679080426693, 'm': 0.9963868856430054}), ('1', {'f': 0.000256448081927374, 'm': 0.9997435212135315})]",test,3
pɔʁtəplym,m,m,"[('p', {'f': 0.49935054779052734, 'm': 0.5006493926048279}), ('ɔ', {'f': 0.5081343650817871, 'm': 0.49186569452285767}), ('ʁ', {'f': 0.005379807204008102, 'm': 0.9946202039718628}), ('t', {'f': 0.3587142527103424, 'm': 0.6412857174873352}), ('ə', {'f': 0.1145511195063591, 'm': 0.8854488730430603}), ('p', {'f': 0.1612309068441391, 'm': 0.8387690186500549}), ('l', {'f': 0.10523882508277893, 'm': 0.8947612047195435}), ('y', {'f': 0.01304598804563284, 'm': 0.9869540333747864}), ('m', {'f': 0.22688663005828857, 'm': 0.7731133699417114})]",test,3
apsɔʁpsj2,f,f,"[('a', {'f': 0.374961256980896, 'm': 0.625038743019104}), ('p', {'f': 0.6553113460540771, 'm': 0.34468862414360046}), ('s', {'f': 0.022997889667749405, 'm': 0.9770021438598633}), ('ɔ', {'f': 0.6360143423080444, 'm': 0.3639856278896332}), ('ʁ', {'f': 0.0009588749380782247, 'm': 0.9990411400794983}), ('p', {'f': 0.32390639185905457, 'm': 0.676093578338623}), ('s', {'f': 0.007541268598288298, 'm': 0.9924587607383728}), ('j', {'f': 0.5744609236717224, 'm': 0.4255390167236328}), ('2', {'f': 0.9990057349205017, 'm': 0.000994238187558949})]",test,3
tʁipɔʁtœʁ,m,m,"[('t', {'f': 0.32073718309402466, 'm': 0.6792628169059753}), ('ʁ', {'f': 0.050501205027103424, 'm': 0.9494987726211548}), ('i', {'f': 0.9907568097114563, 'm': 0.009243256412446499}), ('p', {'f': 0.9248911142349243, 'm': 0.07510886341333389}), ('ɔ', {'f': 0.9354793429374695, 'm': 0.06452065706253052}), ('ʁ', {'f': 0.0006173368310555816, 'm': 0.9993826150894165}), ('t', {'f': 0.7810227274894714, 'm': 0.21897731721401215}), ('œ', {'f': 0.17066590487957, 'm': 0.8293340802192688}), ('ʁ', {'f': 0.005285167600959539, 'm': 0.9947147965431213})]",test,3
inymanite,f,f,"[('i', {'f': 0.624622642993927, 'm': 0.3753774166107178}), ('n', {'f': 0.9956411123275757, 'm': 0.004358923062682152}), ('y', {'f': 0.1695546954870224, 'm': 0.8304452896118164}), ('m', {'f': 0.22385522723197937, 'm': 0.7761447429656982}), ('a', {'f': 0.03915279358625412, 'm': 0.9608471989631653}), ('n', {'f': 0.21161767840385437, 'm': 0.7883822321891785}), ('i', {'f': 0.9795652627944946, 'm': 0.020434781908988953}), ('t', {'f': 0.17528150975704193, 'm': 0.8247185349464417}), ('e', {'f': 0.998358428478241, 'm': 0.0016414974816143513})]",test,3
aspiʁasj2,f,f,"[('a', {'f': 0.374961256980896, 'm': 0.625038743019104}), ('s', {'f': 0.5758315324783325, 'm': 0.42416852712631226}), ('p', {'f': 0.582356870174408, 'm': 0.41764310002326965}), ('i', {'f': 0.3122280538082123, 'm': 0.6877720355987549}), ('ʁ', {'f': 0.025192338973283768, 'm': 0.9748076796531677}), ('a', {'f': 0.2640126347541809, 'm': 0.7359874248504639}), ('s', {'f': 0.05052400752902031, 'm': 0.9494760036468506}), ('j', {'f': 0.9574836492538452, 'm': 0.042516373097896576}), ('2', {'f': 0.9999566078186035, 'm': 4.3386757170083e-05})]",test,3
sɛʁtifika,m,m,"[('s', {'f': 0.20896439254283905, 'm': 0.7910355925559998}), ('ɛ', {'f': 0.030787087976932526, 'm': 0.9692129492759705}), ('ʁ', {'f': 0.011668519116938114, 'm': 0.9883314967155457}), ('t', {'f': 0.18914581835269928, 'm': 0.8108541965484619}), ('i', {'f': 0.2421008050441742, 'm': 0.7578991055488586}), ('f', {'f': 0.004583579022437334, 'm': 0.9954164028167725}), ('i', {'f': 0.471871018409729, 'm': 0.5281289219856262}), ('k', {'f': 0.15455807745456696, 'm': 0.8454418778419495}), ('a', {'f': 0.37916743755340576, 'm': 0.6208325624465942})]",test,3
kɔlpɔʁtœʁ,m,m,"[('k', {'f': 0.1589062362909317, 'm': 0.8410937190055847}), ('ɔ', {'f': 0.04100697860121727, 'm': 0.9589930176734924}), ('l', {'f': 0.09995238482952118, 'm': 0.9000475406646729}), ('p', {'f': 0.04889824613928795, 'm': 0.9511017203330994}), ('ɔ', {'f': 0.23512713611125946, 'm': 0.7648727893829346}), ('ʁ', {'f': 0.030342286452651024, 'm': 0.9696577191352844}), ('t', {'f': 0.030864769592881203, 'm': 0.9691352844238281}), ('œ', {'f': 0.08067836612462997, 'm': 0.9193216562271118}), ('ʁ', {'f': 0.0009024118189699948, 'm': 0.9990975856781006})]",test,3
pʁOpylsœʁ,m,m,"[('p', {'f': 0.49935054779052734, 'm': 0.5006493926048279}), ('ʁ', {'f': 0.12095854431390762, 'm': 0.8790414333343506}), ('O', {'f': 0.28352609276771545, 'm': 0.7164738774299622}), ('p', {'f': 0.13320012390613556, 'm': 0.8667998313903809}), ('y', {'f': 0.0722663477063179, 'm': 0.9277336001396179}), ('l', {'f': 0.3250090777873993, 'm': 0.6749908924102783}), ('s', {'f': 0.03027268312871456, 'm': 0.9697273373603821}), ('œ', {'f': 0.33794519305229187, 'm': 0.6620548367500305}), ('ʁ', {'f': 0.002187910955399275, 'm': 0.997812032699585})]",test,3
admiʁasj2,f,f,"[('a', {'f': 0.374961256980896, 'm': 0.625038743019104}), ('d', {'f': 0.98708176612854, 'm': 0.012918266467750072}), ('m', {'f': 0.014394311234354973, 'm': 0.9856056571006775}), ('i', {'f': 0.1744890660047531, 'm': 0.8255108594894409}), ('ʁ', {'f': 0.012820876203477383, 'm': 0.987179160118103}), ('a', {'f': 0.07895530015230179, 'm': 0.9210447072982788}), ('s', {'f': 0.1251060515642166, 'm': 0.8748940229415894}), ('j', {'f': 0.9688830375671387, 'm': 0.031116899102926254}), ('2', {'f': 0.9999676942825317, 'm': 3.235804979340173e-05})]",test,3
ʃaʁp1tjɛʁ,f,f,"[('ʃ', {'f': 0.6002846360206604, 'm': 0.399715393781662}), ('a', {'f': 0.3409699499607086, 'm': 0.6590300798416138}), ('ʁ', {'f': 0.0008061412372626364, 'm': 0.9991938471794128}), ('p', {'f': 0.6866269111633301, 'm': 0.3133731186389923}), ('1', {'f': 9.241901716450229e-05, 'm': 0.9999076128005981}), ('t', {'f': 0.46898412704467773, 'm': 0.531015932559967}), ('j', {'f': 0.5650991797447205, 'm': 0.43490082025527954}), ('ɛ', {'f': 0.003671193728223443, 'm': 0.9963287711143494}), ('ʁ', {'f': 0.9694808125495911, 'm': 0.03051924891769886})]",test,3
s1sɥalite,f,f,"[('s', {'f': 0.20896439254283905, 'm': 0.7910355925559998}), ('1', {'f': 7.873568392824382e-06, 'm': 0.9999921321868896}), ('s', {'f': 0.9983569979667664, 'm': 0.0016429399838671088}), ('ɥ', {'f': 0.09962058067321777, 'm': 0.9003794193267822}), ('a', {'f': 0.33416831493377686, 'm': 0.6658316850662231}), ('l', {'f': 0.0957813486456871, 'm': 0.9042186141014099}), ('i', {'f': 0.2861059904098511, 'm': 0.7138940095901489}), ('t', {'f': 0.8771122097969055, 'm': 0.1228877604007721}), ('e', {'f': 0.998204231262207, 'm': 0.0017957250820472836})]",test,3
asEzɔnəm1,m,m,"[('a', {'f': 0.374961256980896, 'm': 0.625038743019104}), ('s', {'f': 0.5758315324783325, 'm': 0.42416852712631226}), ('E', {'f': 0.16994339227676392, 'm': 0.8300566673278809}), ('z', {'f': 0.9994981288909912, 'm': 0.0005018181400373578}), ('ɔ', {'f': 0.984255850315094, 'm': 0.015744151547551155}), ('n', {'f': 0.9382215738296509, 'm': 0.061778463423252106}), ('ə', {'f': 0.6671388745307922, 'm': 0.33286115527153015}), ('m', {'f': 0.008103839121758938, 'm': 0.9918962121009827}), ('1', {'f': 2.28549415624002e-05, 'm': 0.9999771118164062})]",test,3
stabilite,f,f,"[('s', {'f': 0.20896439254283905, 'm': 0.7910355925559998}), ('t', {'f': 0.008211475796997547, 'm': 0.9917885661125183}), ('a', {'f': 0.051616061478853226, 'm': 0.9483839869499207}), ('b', {'f': 0.14913713932037354, 'm': 0.8508629202842712}), ('i', {'f': 0.09325267374515533, 'm': 0.9067473411560059}), ('l', {'f': 0.15575404465198517, 'm': 0.844245970249176}), ('i', {'f': 0.23867034912109375, 'm': 0.7613296508789062}), ('t', {'f': 0.8291724324226379, 'm': 0.17082753777503967}), ('e', {'f': 0.9991356730461121, 'm': 0.0008643330656923354})]",test,3
1vəlɔpəm1,m,m,"[('1', {'f': 5.483459972310811e-05, 'm': 0.9999451637268066}), ('v', {'f': 0.904490053653717, 'm': 0.09550990909337997}), ('ə', {'f': 0.14356841146945953, 'm': 0.8564316034317017}), ('l', {'f': 0.5614347457885742, 'm': 0.4385652542114258}), ('ɔ', {'f': 0.5736375451087952, 'm': 0.4263624846935272}), ('p', {'f': 0.9403102993965149, 'm': 0.0596897266805172}), ('ə', {'f': 0.5312381386756897, 'm': 0.4687619209289551}), ('m', {'f': 0.13164032995700836, 'm': 0.8683596849441528}), ('1', {'f': 4.994781193090603e-05, 'm': 0.9999500513076782})]",test,3
dəmip1sj2,f,f,"[('d', {'f': 0.48300912976264954, 'm': 0.5169909596443176}), ('ə', {'f': 0.131172776222229, 'm': 0.8688271641731262}), ('m', {'f': 0.01822515018284321, 'm': 0.9817748069763184}), ('i', {'f': 0.9487645626068115, 'm': 0.05123540759086609}), ('p', {'f': 0.5748047232627869, 'm': 0.42519521713256836}), ('1', {'f': 0.000608866976108402, 'm': 0.9993910789489746}), ('s', {'f': 0.9832251071929932, 'm': 0.01677495613694191}), ('j', {'f': 0.9984679818153381, 'm': 0.0015319815138354897}), ('2', {'f': 0.999942421913147, 'm': 5.759043779107742e-05})]",test,3
pEstifEʁe,m,f,"[('p', {'f': 0.49935054779052734, 'm': 0.5006493926048279}), ('E', {'f': 0.39603087306022644, 'm': 0.6039690971374512}), ('s', {'f': 0.3062478303909302, 'm': 0.6937521696090698}), ('t', {'f': 0.008531882427632809, 'm': 0.9914681911468506}), ('i', {'f': 0.3793463706970215, 'm': 0.6206536293029785}), ('f', {'f': 0.0009931008098646998, 'm': 0.9990069270133972}), ('E', {'f': 0.011060236021876335, 'm': 0.9889397025108337}), ('ʁ', {'f': 0.6364842653274536, 'm': 0.3635157346725464}), ('e', {'f': 0.46873319149017334, 'm': 0.5312668085098267})]",test,3
ɔʁdinasj2,f,f,"[('ɔ', {'f': 0.597153902053833, 'm': 0.40284615755081177}), ('ʁ', {'f': 0.013060233555734158, 'm': 0.9869397878646851}), ('d', {'f': 0.6014551520347595, 'm': 0.3985448479652405}), ('i', {'f': 0.8104630708694458, 'm': 0.189536914229393}), ('n', {'f': 0.9380395412445068, 'm': 0.061960503458976746}), ('a', {'f': 0.726860761642456, 'm': 0.27313920855522156}), ('s', {'f': 0.13815636932849884, 'm': 0.8618436455726624}), ('j', {'f': 0.9865024089813232, 'm': 0.01349753886461258}), ('2', {'f': 0.9999743700027466, 'm': 2.56450948654674e-05})]",test,3
apʁ1tisaʒ,m,m,"[('a', {'f': 0.374961256980896, 'm': 0.625038743019104}), ('p', {'f': 0.6553113460540771, 'm': 0.34468862414360046}), ('ʁ', {'f': 0.08498376607894897, 'm': 0.915016233921051}), ('1', {'f': 0.0005336949252523482, 'm': 0.9994663596153259}), ('t', {'f': 0.21354828774929047, 'm': 0.7864517569541931}), ('i', {'f': 0.7440593242645264, 'm': 0.25594064593315125}), ('s', {'f': 0.9535731673240662, 'm': 0.046426817774772644}), ('a', {'f': 0.5727863311767578, 'm': 0.4272136688232422}), ('ʒ', {'f': 6.210815627127886e-05, 'm': 0.999937891960144})]",test,3
3kylpasj2,f,f,"[('3', {'f': 0.007572444621473551, 'm': 0.9924275279045105}), ('k', {'f': 0.19484727084636688, 'm': 0.8051526546478271}), ('y', {'f': 0.05013148859143257, 'm': 0.9498685002326965}), ('l', {'f': 0.16031937301158905, 'm': 0.8396806716918945}), ('p', {'f': 0.032015156000852585, 'm': 0.9679848551750183}), ('a', {'f': 0.12166666239500046, 'm': 0.8783333897590637}), ('s', {'f': 0.03701598197221756, 'm': 0.962984025478363}), ('j', {'f': 0.9940581321716309, 'm': 0.005941894371062517}), ('2', {'f': 0.9999659061431885, 'm': 3.409842247492634e-05})]",test,3
ʒimnastik,m,f,"[('ʒ', {'f': 0.010938972234725952, 'm': 0.9890609979629517}), ('i', {'f': 0.9149052500724792, 'm': 0.08509469777345657}), ('m', {'f': 0.3196534216403961, 'm': 0.6803466081619263}), ('n', {'f': 0.07679271697998047, 'm': 0.9232072234153748}), ('a', {'f': 0.08199532330036163, 'm': 0.9180046319961548}), ('s', {'f': 0.21420110762119293, 'm': 0.785798966884613}), ('t', {'f': 0.003297586692497134, 'm': 0.9967023730278015}), ('i', {'f': 0.31628212332725525, 'm': 0.6837178468704224}), ('k', {'f': 0.18949510157108307, 'm': 0.8105048537254333})]",test,3
k2tʁəvən1,m,m,"[('k', {'f': 0.1589062362909317, 'm': 0.8410937190055847}), ('2', {'f': 0.0017205101903527975, 'm': 0.9982794523239136}), ('t', {'f': 0.06380755454301834, 'm': 0.9361923933029175}), ('ʁ', {'f': 0.019439497962594032, 'm': 0.9805605411529541}), ('ə', {'f': 0.5857245922088623, 'm': 0.4142754077911377}), ('v', {'f': 0.9978610873222351, 'm': 0.0021389073226600885}), ('ə', {'f': 0.7856633067131042, 'm': 0.21433669328689575}), ('n', {'f': 0.7807362079620361, 'm': 0.2192637324333191}), ('1', {'f': 0.00039236724842339754, 'm': 0.9996076226234436})]",test,3
anivɛʁsɛʁ,m,m,"[('a', {'f': 0.374961256980896, 'm': 0.625038743019104}), ('n', {'f': 0.5082522630691528, 'm': 0.4917477071285248}), ('i', {'f': 0.9776604175567627, 'm': 0.022339601069688797}), ('v', {'f': 0.9989836812019348, 'm': 0.0010163257829844952}), ('ɛ', {'f': 0.01599375531077385, 'm': 0.9840062260627747}), ('ʁ', {'f': 0.00536185409873724, 'm': 0.9946381449699402}), ('s', {'f': 0.91012042760849, 'm': 0.08987962454557419}), ('ɛ', {'f': 0.06217197701334953, 'm': 0.937828004360199}), ('ʁ', {'f': 0.0003611695719882846, 'm': 0.9996387958526611})]",test,3
ʁətuʁnəm1,m,m,"[('ʁ', {'f': 0.029563577845692635, 'm': 0.9704364538192749}), ('ə', {'f': 0.9212587475776672, 'm': 0.07874121516942978}), ('t', {'f': 0.45935556292533875, 'm': 0.5406444668769836}), ('u', {'f': 0.034684840589761734, 'm': 0.9653151631355286}), ('ʁ', {'f': 0.07103738188743591, 'm': 0.9289626479148865}), ('n', {'f': 0.9653230309486389, 'm': 0.03467691317200661}), ('ə', {'f': 0.538360059261322, 'm': 0.461639940738678}), ('m', {'f': 0.010830041952431202, 'm': 0.9891698956489563}), ('1', {'f': 6.420176214305684e-05, 'm': 0.9999357461929321})]",test,3
naʁsisizm,m,m,"[('n', {'f': 0.775706946849823, 'm': 0.224293053150177}), ('a', {'f': 0.511299192905426, 'm': 0.488700807094574}), ('ʁ', {'f': 0.0008555671665817499, 'm': 0.999144434928894}), ('s', {'f': 0.8876046538352966, 'm': 0.112395279109478}), ('i', {'f': 0.9992876648902893, 'm': 0.0007124055991880596}), ('s', {'f': 0.6432385444641113, 'm': 0.35676145553588867}), ('i', {'f': 0.9413396716117859, 'm': 0.0586603581905365}), ('z', {'f': 0.8914650082588196, 'm': 0.1085350289940834}), ('m', {'f': 0.0001318509894190356, 'm': 0.9998681545257568})]",test,3
3fɔʁmatik,f,f,"[('3', {'f': 0.007572444621473551, 'm': 0.9924275279045105}), ('f', {'f': 0.46195507049560547, 'm': 0.5380449295043945}), ('ɔ', {'f': 0.027772370725870132, 'm': 0.9722275733947754}), ('ʁ', {'f': 0.0005037247901782393, 'm': 0.9994962215423584}), ('m', {'f': 0.06177628040313721, 'm': 0.9382237792015076}), ('a', {'f': 0.014987227506935596, 'm': 0.9850127696990967}), ('t', {'f': 0.15021203458309174, 'm': 0.8497879505157471}), ('i', {'f': 0.7250653505325317, 'm': 0.27493464946746826}), ('k', {'f': 0.9179742932319641, 'm': 0.08202571421861649})]",test,3
papaʁadzi,f,m,"[('p', {'f': 0.49935054779052734, 'm': 0.5006493926048279}), ('a', {'f': 0.5050591230392456, 'm': 0.4949408173561096}), ('p', {'f': 0.38935387134552, 'm': 0.61064612865448}), ('a', {'f': 0.32986465096473694, 'm': 0.6701353192329407}), ('ʁ', {'f': 0.014729596674442291, 'm': 0.9852703809738159}), ('a', {'f': 0.1021188274025917, 'm': 0.8978811502456665}), ('d', {'f': 0.34535831212997437, 'm': 0.6546417474746704}), ('z', {'f': 0.9877648949623108, 'm': 0.012235107831656933}), ('i', {'f': 0.7740247845649719, 'm': 0.22597527503967285})]",test,3
kɥistʁəʁi,f,f,"[('k', {'f': 0.1589062362909317, 'm': 0.8410937190055847}), ('ɥ', {'f': 0.06718718260526657, 'm': 0.9328127503395081}), ('i', {'f': 0.02304227650165558, 'm': 0.9769576787948608}), ('s', {'f': 0.8650332689285278, 'm': 0.13496673107147217}), ('t', {'f': 0.19708237051963806, 'm': 0.8029176592826843}), ('ʁ', {'f': 0.036489926278591156, 'm': 0.9635100960731506}), ('ə', {'f': 0.1623263955116272, 'm': 0.837673544883728}), ('ʁ', {'f': 0.03134065866470337, 'm': 0.9686592817306519}), ('i', {'f': 0.9999421834945679, 'm': 5.780237552244216e-05})]",test,3
dist3ksj2,f,f,"[('d', {'f': 0.48300912976264954, 'm': 0.5169909596443176}), ('i', {'f': 0.14025864005088806, 'm': 0.8597413301467896}), ('s', {'f': 0.1262369006872177, 'm': 0.8737630844116211}), ('t', {'f': 0.05302159860730171, 'm': 0.9469783902168274}), ('3', {'f': 0.05430944636464119, 'm': 0.9456905722618103}), ('k', {'f': 0.28886616230010986, 'm': 0.7111338376998901}), ('s', {'f': 0.012229173444211483, 'm': 0.9877707958221436}), ('j', {'f': 0.9974884986877441, 'm': 0.002511536469683051}), ('2', {'f': 0.9999868869781494, 'm': 1.3137089808878954e-05})]",test,3
3validite,f,f,"[('3', {'f': 0.007572444621473551, 'm': 0.9924275279045105}), ('v', {'f': 0.9319537281990051, 'm': 0.06804628670215607}), ('a', {'f': 0.9221727252006531, 'm': 0.07782724499702454}), ('l', {'f': 0.2905776798725128, 'm': 0.7094222903251648}), ('i', {'f': 0.33586716651916504, 'm': 0.6641328930854797}), ('d', {'f': 0.11133041232824326, 'm': 0.8886695504188538}), ('i', {'f': 0.8117895126342773, 'm': 0.18821048736572266}), ('t', {'f': 0.2546743154525757, 'm': 0.7453256845474243}), ('e', {'f': 0.9965929388999939, 'm': 0.0034070066176354885})]",test,3
